species,binomial,taxa,family,genus,species_author,author,year,time.slice,New,IUCN,rangesize,range.cat,areaClass,rangeNat_2020,percNat,percNatCat,prot_range,prot_perc,prot_perc_cat,rangeNat_2000,loss00_20,perc_loss00_20
Bachia psamophila,Bachia psamophila,Reptiles,Gymnophthalmidae,Bachia,"Bachia psamophila Rodrigues et al., 2007","Rodrigues et al., 2007",2007,2000-2021,n,CR,375,Restricted,buffer,327,0.872,>80%,0,0,0%,312,-15,-0.048076923
Barycholos ternetzi,Barycholos ternetzi,Amphibians,Craugastoridae,Barycholos,"Barycholos ternetzi (Miranda-Ribeiro, 1937)","(Miranda-Ribeiro, 1937)",1937,1900-1999,n,LC,724474,Partial,polygon,334957,0.5159,<80%,22695,0.0313,<5%,370547,35590,0.096047195
Boana botumirim,Boana botumirim,Amphibians,Hylidae,Boana,"Boana botumirim Caramaschi et al., 2009","Caramaschi et al., 2009",2009,2000-2021,n,LC,364,Restricted,buffer,349,0.9562,>80%,121,0.3324,>17%,352,3,0.008522727
Boana buriti,Boana buriti,Amphibians,Hylidae,Boana,"Boana buriti (Caramaschi & Cruz, 1999)","(Caramaschi & Cruz, 1999)",1999,1900-1999,n,EN,15413,Restricted,polygon,6138,0.3985,<50%,43,0.0028,<1%,6765,627,0.092682927
Boana caiapo,Boana caiapo*,Amphibians,Hylidae,Boana,"Boana caiapo* Pinheiro et al., 2018","Pinheiro et al., 2018",2018,2000-2021,s,LC,262878,Restricted,polygon,113969,0.61,<80%,9377,0.0357,<5%,126058,12089,0.0959003
Boana cipoensis,Boana cipoensis,Amphibians,Hylidae,Boana,"Boana cipoensis (Lutz,1968)","(Lutz,1968)",1968,1900-1999,n,LC,7857,Restricted,polygon,4393,0.7826,<80%,374,0.0476,<5%,4610,217,0.047071584
Boana ericae,Boana ericae,Amphibians,Hylidae,Boana,"Boana ericae (Caramaschi & Cruz, 2000)","(Caramaschi & Cruz, 2000)",2000,2000-2021,n,EN,963,Restricted,buffer,901,0.9346,>80%,197,0.2046,>17%,905,4,0.00441989
Boana goiana,Boana goiana,Amphibians,Hylidae,Boana,"Boana goiana (Lutz, 1968)","(Lutz, 1968)",1968,1900-1999,n,LC,35423,Restricted,polygon,16960,0.4779,<50%,731,0.0206,<5%,18218,1258,0.069052585
Boana jaguariaivensis,Boana jaguariaivensis,Amphibians,Hylidae,Boana,"Boana jaguariaivensis Caramaschi et al., 2010","Caramaschi et al., 2010",2010,2000-2021,n,VU,1041,Restricted,buffer,249,0.4743,<50%,2,0.0019,<1%,217,-32,-0.147465438
Boana lundii,Boana lundii,Amphibians,Hylidae,Boana,"Boana lundii (Burmeister, 1856)","(Burmeister, 1856)",1856,1700-1899,n,LC,988264,Partial,polygon,311550,0.3823,<50%,13841,0.014,<5%,337416,25866,0.07665908
Boana stenocephala,Boana stenocephala,Amphibians,Hylidae,Boana,"Boana stenocephala (Caramaschi & Cruz, 1999)","(Caramaschi & Cruz, 1999)",1999,1900-1999,n,LC,712,Restricted,buffer,177,0.2486,<30%,0,0,0%,162,-15,-0.092592593
Bokermannohyla alvarengai,Bokermannohyla alvarengai,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla alvarengai (Bokermann, 1956)","(Bokermann, 1956)",1956,1900-1999,n,LC,28510,Restricted,polygon,13590,0.7389,<80%,1510,0.053,<17%,14447,857,0.059320274
Bokermannohyla ibitiguara,Bokermannohyla ibitiguara,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla ibitiguara (Cardoso, 1983)","(Cardoso, 1983)",1983,1900-1999,n,LC,1499,Restricted,polygon,695,0.4646,<50%,891,0.5944,>17%,678,-17,-0.025073746
Bokermannohyla izecksohni,Bokermannohyla izecksohni*,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla izecksohni (Jim and Caramaschi, 1979)","(Jim and Caramaschi, 1979)",1979,1900-1999,s,CR,351,Restricted,buffer,71,0.2029,<30%,0,0,0%,69,-2,-0.028985507
Bokermannohyla nanuzae,Bokermannohyla nanuzae,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla nanuzae (Bokermann & Sazima, 1973)","(Bokermann & Sazima, 1973)",1973,1900-1999,n,LC,9366,Restricted,polygon,2061,0.6475,<80%,552,0.0589,<17%,2080,19,0.009134615
