species,rangesize,area,code,area_total_i-iv,protected_range,prot_perc
Leposternon maximus,"853","5493","1","49667","259",0.3036
Oligoryzomys rupestris,"1470","5493","1","49667","350",0.2381
Scinax cabralensis,"725","5493","1","49667","22",0.0303
Apostolepis vittata,"1474","5493","1","49667","12",0.0081
Leptodactylus tapiti,"369","5493","1","49667","73",0.1978
Akodon kadiweu,"356","5493","1","49667","93",0.2612
Atractus spinalis,"763","5493","1","49667","187",0.2451
Liotyphlops taylori*,"367","5493","1","49667","135",0.3678
Gyldenstolpia planaltensis,"1104","5493","1","49667","167",0.1513
Scinax rupestris*,"816","5493","1","49667","199",0.2439
Ameivula cipoensis*,"1157","5493","1","49667","185",0.1599
Phalotris cerradensis*,"368","5493","1","49667","97",0.2636
Amphisbaena carli,"1478","5493","1","49667","59",0.0399
Trachycephalus mambaiensis,"81510","5493","1","49667","4711",0.0578
Trilepida brasiliensis,"1503963","5493","1","49667","39725",0.0264
Trilepida fuliginosa,"453998","5493","1","49667","12299",0.0271
Trilepida jani,"19461","5493","1","49667","1046",0.0537
Thoropa megatympanum,"35245","5493","1","49667","1956",0.0555
Thrichomys apereoides,"362360","5493","1","49667","7700",0.0212
Thrichomys pachyurus,"762797","5493","1","49667","13589",0.0178
Thylamys velutinus,"472911","5493","1","49667","3803",0.0080
Tropidurus oreadicus,"2773708","5493","1","49667","39571",0.0143
Tupinambis matipu*,"701967","5493","1","49667","2363",0.0034
Tupinambis quadrilineatus,"1572963","5493","1","49667","34163",0.0217
Uropelia campestris,"4642794","5493","1","49667","44925",0.0097
Trilepida koppesi,"558325","5493","1","49667","2285",0.0041
Trinomys moojeni,"1403","5493","1","49667","270",0.1924
Tropidurus itambere,"1456252","5493","1","49667","12723",0.0087
Tropidurus montanus,"84788","5493","1","49667","1776",0.0209
Vanzosaura savanicola*,"112323","5493","1","49667","7700",0.0686
Xenodon matogrossensis,"213601","5493","1","49667","814",0.0038
Xenodon nattereri,"1984447","5493","1","49667","38683",0.0195
Pithecopus centralis,"105166","5493","1","49667","419",0.0040
Pithecopus megacephalus,"53181","5493","1","49667","1848",0.0347
Pithecopus oreades,"82568","5493","1","49667","1701",0.0206
Polystictus superciliaris,"442086","5493","1","49667","4607",0.0104
Physalaemus marmoratus,"1228199","5493","1","49667","14139",0.0115
Physalaemus nattereri,"1987481","5493","1","49667","40433",0.0203
Pithecopus ayeaye,"72110","5493","1","49667","2086",0.0289
Pithecopus azureus,"2392121","5493","1","49667","43624",0.0182
Pristimantis ventrigranulosus,"13038","5493","1","49667","0",0.0000
Proceratophrys branti,"151905","5493","1","49667","12686",0.0835
Proceratophrys dibernardoi,"66603","5493","1","49667","1647",0.0247
Poospiza cinerea,"1081620","5493","1","49667","12214",0.0113
Porphyrospiza caerulescens,"3175252","5493","1","49667","46792",0.0147
Pristimantis dundeei,"113765","5493","1","49667","1843",0.0162
Pristimantis moa*,"29032","5493","1","49667","363",0.0125
