"species","X","latitude","longitude","year","icmbio.cat"
"Alipiopsitta xanthops",373,-13.2755,-50.1634,1824,"LC"
"Alipiopsitta xanthops",374,-5.0833,-48.4167,1824,"LC"
"Alipiopsitta xanthops",375,-16.3667,-45.0667,1824,"LC"
"Alipiopsitta xanthops",376,-20.2455,-46.3664,1824,"LC"
"Alipiopsitta xanthops",377,-20.3675,-51.4194,1824,"LC"
"Alipiopsitta xanthops",378,-15.65,-57.2167,1824,"LC"
"Alipiopsitta xanthops",379,-10.2667,-48.3667,1824,"LC"
"Alipiopsitta xanthops",380,-19.1115,-46.6904,1824,"LC"
"Alipiopsitta xanthops",381,-15.6333,-47.8167,1824,"LC"
"Alipiopsitta xanthops",382,-17.5775,-54.7585,1824,"LC"
"Alipiopsitta xanthops",383,-12.4167,-46.4333,1824,"LC"
"Alipiopsitta xanthops",384,-19.9225,-46.8234,1824,"LC"
"Alipiopsitta xanthops",385,-20.4425,-54.8605,1824,"LC"
"Alipiopsitta xanthops",386,-13.7765,-47.2654,1824,"LC"
"Alipiopsitta xanthops",387,-16.1995,-52.5564,1824,"LC"
"Alipiopsitta xanthops",388,-20.7833,-51.7,1824,"LC"
"Alipiopsitta xanthops",389,-20.7515,-51.6785,1824,"LC"
"Alipiopsitta xanthops",390,-18.2065,-45.2424,1824,"LC"
"Alipiopsitta xanthops",391,-19.7485,-47.9324,1824,"LC"
"Alipiopsitta xanthops",392,-18.9195,-48.2774,1824,"LC"
"Alipiopsitta xanthops",393,-16.3585,-46.9064,1824,"LC"
"Alipiopsitta xanthops",394,-16.0645,-46.2544,1824,"LC"
"Alipiopsitta xanthops",395,-16.1335,-45.7424,1824,"LC"
"Alipiopsitta xanthops",396,-14.8667,-55.7833,1824,"LC"
"Alipiopsitta xanthops",397,-17.5833,-44.7167,1824,"LC"
"Alipiopsitta xanthops",398,-17.9875,-46.9084,1824,"LC"
"Alipiopsitta xanthops",399,-6.7333,-43.75,1824,"LC"
"Alipiopsitta xanthops",400,-16.7425,-48.5164,1824,"LC"
"Alipiopsitta xanthops",401,-13.0667,-64.8167,1824,"LC"
"Allobates brunneus",402,-15.1355,-55.5182,1887,"NT"
"Allobates brunneus",403,-15.2728,-55.5803,1887,"NT"
"Allobates brunneus",404,-15.2419,-55.4919,1887,"NT"
"Allobates brunneus",405,-15.2667,-55.5311,1887,"NT"
"Allobates brunneus",406,-14.9458,-55.7425,1887,"NT"
"Allobates brunneus",407,-14.9489,-55.7478,1887,"NT"
"Allobates brunneus",408,-14.9542,-55.7092,1887,"NT"
"Allobates brunneus",409,-14.9564,-55.6947,1887,"NT"
"Allobates brunneus",410,-14.9631,-55.6919,1887,"NT"
"Allobates goianus",411,-14.1825,-47.5347,1975,"NT"
"Allobates goianus",412,-13.7597,-48.3086,1975,"NT"
"Allobates goianus",413,-14.3639,-48.5047,1975,"NT"
"Allobates goianus",414,-16.6026,-48.547,1975,"NT"
"Ameerega braccata",429,-15.1355,-55.5182,1864,"LC"
"Ameerega braccata",430,-15.4608,-55.7494,1864,"LC"
"Ameerega braccata",431,-15.4879,-55.8196,1864,"LC"
"Ameerega braccata",432,-15.4293,-55.835,1864,"LC"
"Ameerega braccata",433,-15.3563,-55.8838,1864,"LC"
"Ameerega braccata",434,-15.353,-55.8858,1864,"LC"
"Ameerega braccata",435,-15.3333,-55.8833,1864,"LC"
"Ameerega braccata",436,-15.4485,-55.9354,1864,"LC"
"Ameerega braccata",437,-15.4,-55.83,1864,"LC"
"Ameerega braccata",438,-15.4119,-55.8422,1864,"LC"
"Ameerega braccata",439,-15.4119,-55.8311,1864,"LC"
"Ameerega braccata",440,-15.4079,-55.8311,1864,"LC"
"Ameerega flavopicta",441,-20.8636,-46.388,1925,"LC"
"Ameerega flavopicta",442,-14.1825,-47.5347,1925,"LC"
"Ameerega flavopicta",443,-14.1852,-47.7896,1925,"LC"
"Ameerega flavopicta",444,-19.9022,-43.9597,1925,"LC"
"Ameerega flavopicta",445,-15.7807,-47.7968,1925,"LC"
"Ameerega flavopicta",446,-15.7797,-47.9297,1925,"LC"
"Ameerega flavopicta",447,-17.7085,-48.6454,1925,"LC"
"Ameerega flavopicta",448,-13.6346,-47.6957,1925,"LC"
"Ameerega flavopicta",449,-19.4405,-43.7183,1925,"LC"
"Ameerega flavopicta",450,-19.5136,-43.7447,1925,"LC"
"Ameerega flavopicta",451,-17.6049,-45.9343,1925,"LC"
"Ameerega flavopicta",452,-16.4812,-47.9918,1925,"LC"
"Ameerega flavopicta",453,-13.9946,-49.3937,1925,"LC"
"Ameerega flavopicta",454,-13.4983,-48.3484,1925,"LC"
"Ameerega flavopicta",455,-14.4981,-48.4012,1925,"LC"
"Ameerega flavopicta",456,-8.0618,-55.6116,1925,"LC"
"Ameerega flavopicta",457,-17.1737,-46.8838,1925,"LC"
"Ameerega flavopicta",458,-12.6953,-47.8117,1925,"LC"
"Ameerega flavopicta",459,-12.5919,-47.8769,1925,"LC"
"Ameerega flavopicta",460,-12.5719,-47.8769,1925,"LC"
"Ameerega flavopicta",461,-6.0675,-49.9022,1925,"LC"
"Ameerega flavopicta",462,-20.1389,-47.3086,1925,"LC"
"Ameerega flavopicta",463,-15.8106,-49.0132,1925,"LC"
"Ameerega flavopicta",464,-18.2379,-46.3375,1925,"LC"
