"species","X","latitude","longitude","prot_perc_cat"
"Apostolepis assimilis*",1087,-19.6667,-51.1833,"<1%"
"Apostolepis assimilis*",1088,-19.6833,-51.1833,"<1%"
"Apostolepis assimilis*",1089,-20.2333,-46.65,"<1%"
"Apostolepis assimilis*",1090,-22.3903,-44.9667,"<1%"
"Apostolepis assimilis*",1091,-22.3833,-44.9667,"<1%"
"Apostolepis assimilis*",1092,-20.65,-44.5,"<1%"
"Apostolepis assimilis*",1093,-18.5833,-46.5,"<1%"
"Apostolepis assimilis*",1094,-18.4833,-46.5333,"<1%"
"Apostolepis assimilis*",1095,-18.4583,-46.4667,"<1%"
"Apostolepis assimilis*",1096,-19.9833,-49.25,"<1%"
"Apostolepis assimilis*",1097,-22.9333,-45.4667,"<1%"
"Apostolepis assimilis*",1098,-23.5403,-46.63,"<1%"
"Apostolepis assimilis*",1099,-21.7833,-46.55,"<1%"
"Apostolepis assimilis*",1100,-21.7833,-46.5667,"<1%"
"Apostolepis assimilis*",1101,-21.775,-46.5667,"<1%"
"Apostolepis assimilis*",1102,-22.5333,-55.7167,"<1%"
"Apostolepis assimilis*",1103,-22.5361,-55.7256,"<1%"
"Apostolepis assimilis*",1104,-19.1667,-47.6833,"<1%"
"Apostolepis assimilis*",1105,-22.2333,-45.9333,"<1%"
"Apostolepis assimilis*",1106,-22.2167,-45.9333,"<1%"
"Apostolepis assimilis*",1107,-22.23,-45.9364,"<1%"
"Apostolepis assimilis*",1108,-21.05,-44.0833,"<1%"
"Apostolepis assimilis*",1109,-21.1667,-47.85,"<1%"
"Apostolepis assimilis*",1110,-17.7833,-50.9167,"<1%"
"Apostolepis assimilis*",1111,-17.8,-50.9167,"<1%"
"Apostolepis assimilis*",1112,-17.7981,-50.9281,"<1%"
"Apostolepis assimilis*",1113,-21.025,-44.3167,"<1%"
"Apostolepis assimilis*",1114,-21.3667,-48.7667,"<1%"
"Apostolepis assimilis*",1115,-22.15,-44.1,"<1%"
"Apostolepis assimilis*",1116,-19.5333,-45.9667,"<1%"
"Apostolepis assimilis*",1117,-19.5167,-54.95,"<1%"
"Apostolepis assimilis*",1118,-25.3833,-54.4833,"<1%"
"Apostolepis assimilis*",1119,-23.4417,-46.9167,"<1%"
"Apostolepis assimilis*",1120,-23.4442,-46.9178,"<1%"
"Apostolepis assimilis*",1121,-19.2833,-43.5667,"<1%"
"Apostolepis assimilis*",1122,-22.6833,-45.7333,"<1%"
"Apostolepis assimilis*",1123,-23.6167,-46.55,"<1%"
"Apostolepis assimilis*",1124,-21.9667,-46.8,"<1%"
"Apostolepis assimilis*",1125,-21.9692,-46.7981,"<1%"
"Apostolepis assimilis*",1126,-20.5917,-47.6333,"<1%"
"Apostolepis assimilis*",1127,-22.9167,-45.9667,"<1%"
"Apostolepis assimilis*",1128,-23.725,-46.7667,"<1%"
"Apostolepis assimilis*",1129,-23.65,-46.7083,"<1%"
"Apostolepis assimilis*",1130,-23.6333,-46.7583,"<1%"
"Apostolepis assimilis*",1131,-23.6278,-46.6778,"<1%"
"Apostolepis assimilis*",1132,-23.6,-46.7167,"<1%"
"Apostolepis assimilis*",1133,-23.5943,-48.0538,"<1%"
"Apostolepis assimilis*",1134,-23.5833,-46.6083,"<1%"
"Apostolepis assimilis*",1135,-23.575,-46.625,"<1%"
"Apostolepis assimilis*",1136,-23.575,-46.7333,"<1%"
"Apostolepis assimilis*",1137,-23.5667,-46.7,"<1%"
"Apostolepis assimilis*",1138,-23.5667,-46.7167,"<1%"
"Apostolepis assimilis*",1139,-23.5667,-46.7833,"<1%"
"Apostolepis assimilis*",1140,-23.5583,-46.7167,"<1%"
"Apostolepis assimilis*",1141,-23.5478,-46.6358,"<1%"
"Apostolepis assimilis*",1142,-23.5417,-46.4667,"<1%"
"Apostolepis assimilis*",1143,-23.5333,-46.6333,"<1%"
"Apostolepis assimilis*",1144,-23.525,-46.7,"<1%"
"Apostolepis assimilis*",1145,-23.5,-46.7333,"<1%"
"Apostolepis assimilis*",1146,-23.4833,-46.725,"<1%"
"Apostolepis assimilis*",1147,-23.45,-46.7333,"<1%"
"Apostolepis assimilis*",1148,-23.4,-46.75,"<1%"
"Apostolepis assimilis*",1149,-23.55,-46.6333,"<1%"
"Apostolepis assimilis*",1150,-21.1333,-46.6167,"<1%"
"Apostolepis assimilis*",1151,-23.5511,-47.0844,"<1%"
"Apostolepis assimilis*",1152,-23.55,-47.1167,"<1%"
"Apostolepis assimilis*",1153,-23.5383,-47.0369,"<1%"
"Apostolepis assimilis*",1154,-23.5333,-47.0833,"<1%"
