species,rangesize,code,area_total,protected_range,prot_perc
Aplastodiscus lutzorum*,"20219","1","77538","703",0.0348
Apostolepis albicollaris,"52589","1","77538","651",0.0124
Arremon flavirostris,"1473172","1","77538","15613",0.0106
Asthenes luizae,"24900","1","77538","1989",0.0799
Atractus albuquerquei,"2711519","1","77538","33701",0.0124
Atractus pantostictus*,"940260","1","77538","19639",0.0209
Apostolepis longicaudata,"27040","1","77538","2496",0.0923
Apostolepis nelsonjorgei,"73372","1","77538","2925",0.0399
Apostolepis polylepis,"108297","1","77538","13842",0.1278
Apostolepis sanctaeritae*,"673293","1","77538","21821",0.0324
Apostolepis intermedia,"1425","1","77538","330",0.2316
Juscelinomys candango,"366","1","77538","83",0.2268
Ameiva jacuba,"1264","1","77538","570",0.4509
Boana jaguariaivensis,"1041","1","77538","2",0.0019
Boana ericae,"963","1","77538","197",0.2046
Amphisbaena acrobeles,"374","1","77538","140",0.3743
Siagonodon acutirostris,"1494","1","77538","831",0.5562
Boana botumirim,"364","1","77538","121",0.3324
Oreobates antrum*,"1286","1","77538","24",0.0187
Akodon lindberghi,"2844","1","77538","569",0.2001
Stenocercus canastra*,"690","1","77538","570",0.8261
Crossodactylus franciscanus*,"714","1","77538","91",0.1275
Dendropsophus tritaeniatus,"1460","1","77538","75",0.0514
Placosoma cipoense,"359","1","77538","224",0.6240
Leposternon maximus,"853","1","77538","259",0.3036
Oligoryzomys rupestris,"1470","1","77538","401",0.2728
Scinax cabralensis,"725","1","77538","45",0.0621
Apostolepis vittata,"1474","1","77538","12",0.0081
Leptodactylus tapiti,"369","1","77538","73",0.1978
Akodon kadiweu,"356","1","77538","93",0.2612
Atractus spinalis,"763","1","77538","249",0.3263
Liotyphlops taylori*,"367","1","77538","135",0.3678
Gyldenstolpia planaltensis,"1104","1","77538","167",0.1513
Scinax rupestris*,"816","1","77538","199",0.2439
Ameivula cipoensis*,"1157","1","77538","246",0.2126
Phalotris cerradensis*,"368","1","77538","97",0.2636
Amphisbaena carli,"1478","1","77538","59",0.0399
Trachycephalus mambaiensis,"81510","1","77538","4752",0.0583
Trilepida brasiliensis,"1503963","1","77538","40976",0.0272
Trilepida fuliginosa,"453998","1","77538","12403",0.0273
Trilepida jani,"19461","1","77538","1192",0.0613
Thoropa megatympanum,"35245","1","77538","2766",0.0785
Thrichomys apereoides,"362360","1","77538","10204",0.0282
Thrichomys pachyurus,"762797","1","77538","13812",0.0181
Thylamys velutinus,"472911","1","77538","3827",0.0081
Tropidurus oreadicus,"2773708","1","77538","41466",0.0149
Tupinambis matipu*,"701967","1","77538","2526",0.0036
Tupinambis quadrilineatus,"1572963","1","77538","34386",0.0219
Uropelia campestris,"4642794","1","77538","71821",0.0155
Trilepida koppesi,"558325","1","77538","2470",0.0044
Trinomys moojeni,"1403","1","77538","332",0.2366
Tropidurus itambere,"1456252","1","77538","12951",0.0089
Tropidurus montanus,"84788","1","77538","3047",0.0359
Vanzosaura savanicola*,"112323","1","77538","7700",0.0686
Xenodon matogrossensis,"213601","1","77538","976",0.0046
Xenodon nattereri,"1984447","1","77538","40165",0.0202
Pithecopus centralis,"105166","1","77538","581",0.0055
Pithecopus megacephalus,"53181","1","77538","3718",0.0699
Pithecopus oreades,"82568","1","77538","1701",0.0206
Polystictus superciliaris,"442086","1","77538","6555",0.0148
Physalaemus marmoratus,"1228199","1","77538","16089",0.0131
Physalaemus nattereri,"1987481","1","77538","41283",0.0208
Pithecopus ayeaye,"72110","1","77538","2091",0.0290
Pithecopus azureus,"2392121","1","77538","53593",0.0224
Pristimantis ventrigranulosus,"13038","1","77538","0",0.0000
Proceratophrys branti,"151905","1","77538","12781",0.0841
Proceratophrys dibernardoi,"66603","1","77538","1647",0.0247
Poospiza cinerea,"1081620","1","77538","13734",0.0127
Porphyrospiza caerulescens,"3175252","1","77538","74553",0.0235
Pristimantis dundeei,"113765","1","77538","1843",0.0162
Pristimantis moa*,"29032","1","77538","380",0.0131
