"species","rangeAnt","percNatCat","X","latitude","longitude"
"Dendropsophus elianeae",515929,"<30%",6043,-20.1967,-50.4844
"Dendropsophus elianeae",515929,"<30%",6044,-20.504,-50.094
"Dendropsophus elianeae",515929,"<30%",6025,-17.6134,-52.7643
"Dendropsophus elianeae",515929,"<30%",6026,-20.1197,-56.5975
"Dendropsophus elianeae",515929,"<30%",6027,-21.0761,-49.5431
"Dendropsophus elianeae",515929,"<30%",6028,-20.39,-49.4331
"Dendropsophus elianeae",515929,"<30%",6029,-22.7472,-47.1442
"Dendropsophus elianeae",515929,"<30%",6042,-20.908,-49.921
"Dendropsophus elianeae",515929,"<30%",6039,-19.1888,-43.645
"Dendropsophus elianeae",515929,"<30%",6040,-19.0278,-48.3313
"Dendropsophus elianeae",515929,"<30%",6041,-16.3754,-46.8194
"Dendropsophus jimi",413864,"<30%",6046,-18.6738,-51.8805
"Dendropsophus jimi",413864,"<30%",6047,-18.7676,-52.0449
"Dendropsophus jimi",413864,"<30%",6048,-21.0073,-56.4597
"Dendropsophus jimi",413864,"<30%",6045,-22.8582,-49.2603
"Dendropsophus jimi",413864,"<30%",6050,-22.8833,-48.4333
"Dendropsophus jimi",413864,"<30%",6051,-15.7807,-47.7968
"Dendropsophus jimi",413864,"<30%",6052,-22.2726,-48.0809
"Dendropsophus jimi",413864,"<30%",6049,-22.8622,-48.4679
"Dendropsophus jimi",413864,"<30%",6058,-21.87,-48.67
"Dendropsophus jimi",413864,"<30%",6059,-23.4338,-54.5379
"Dendropsophus jimi",413864,"<30%",6060,-23.9136,-48.8712
"Dendropsophus jimi",413864,"<30%",6061,-23.1526,-48.629
"Dendropsophus jimi",413864,"<30%",6062,-22.2935,-47.8336
"Dendropsophus jimi",413864,"<30%",6063,-22.7002,-46.9797
"Dendropsophus jimi",413864,"<30%",6064,-17.6134,-52.7643
"Dendropsophus jimi",413864,"<30%",6065,-17.1737,-46.8838
"Dendropsophus jimi",413864,"<30%",6053,-15.4529,-46.6042
"Dendropsophus jimi",413864,"<30%",6071,-20.187,-46.5135
"Dendropsophus jimi",413864,"<30%",6072,-18.2242,-52.2115
"Dendropsophus jimi",413864,"<30%",6073,-16.6026,-48.547
"Dendropsophus jimi",413864,"<30%",6074,-14.7347,-46.2405
"Dendropsophus jimi",413864,"<30%",6075,-20.4382,-52.2111
"Dendropsophus jimi",413864,"<30%",6076,-19.0278,-48.3313
"Dendropsophus jimi",413864,"<30%",6077,-18.9186,-48.2769
"Dendropsophus jimi",413864,"<30%",6078,-16.3754,-46.8194
"Dendropsophus jimi",413864,"<30%",6057,-15.9298,-48.679
"Dendropsophus jimi",413864,"<30%",6054,-22.9,-47.06
"Dendropsophus jimi",413864,"<30%",6055,-20.9125,-54.2494
"Dendropsophus jimi",413864,"<30%",6056,-18.47,-52.6519
"Dendropsophus jimi",413864,"<30%",6068,-18.437,-50.5295
"Dendropsophus jimi",413864,"<30%",6070,-23.6499,-46.6476
"Dendropsophus jimi",413864,"<30%",6066,-17.3655,-48.8475
"Dendropsophus jimi",413864,"<30%",6067,-23.1861,-49.3657
"Dendropsophus jimi",413864,"<30%",6069,-21.637,-44.0665
"Dendropsophus rhea",359,"<30%",6079,-21.9951,-47.3895
"Dendropsophus rhea",359,"<30%",6080,-21.9833,-47.4167
