Elachistocleis bumbameuboi,22,208,1,2,5,113,,4,,7,0,,,14,0,,1,,,,
Elachistocleis matogrosso,13759,8396,128,1218,2273,21616,36,4576,,292,58,1,97,235,2638,,205,,,,0
Embernagra longicauda,6674,23693,4020,165,2202,11215,,4905,,511,145,1375,16,242,64,,78,34,9,0,
Enyalius capetinga*,447,676,1,21,306,369,,237,,413,29,,0,17,17,,7,0,1,,
Epicrates crassus,218954,441184,30346,58765,95259,445246,41478,123769,3,7556,4046,2300,438,14028,180727,1046,26117,3531,3018,542,1913
Epictia clinorostris*,3044,9940,91,1288,536,10785,,1090,,32,71,24,,127,1201,,413,,,,0
Erythrolamprus maryellenae,80840,269111,14182,23421,54766,246067,7364,70971,3,4285,2158,2079,279,6462,91638,26,14656,2099,383,242,1542
Eurolophosaurus nanuzae,1426,4241,1122,31,227,1502,,569,,31,22,723,0,26,2,,4,6,,0,
Euryoryzomys lamia,7297,10631,295,121,2006,12373,69,5144,,776,218,6,50,775,5368,,484,12,7,0,0
Euscarthmus rufomarginatus,207660,488362,17809,54937,96673,405251,17087,90733,144,5023,4173,493,331,9751,172971,1046,24298,1649,698,260,1918
Galea flavidens,114154,376995,9311,46157,79072,249797,4502,62385,3,3791,3150,698,316,8071,116098,1046,16868,1169,181,237,1628
Geositta poeciloptera,174482,269352,26265,35000,53132,398932,41383,113152,,7092,2826,1832,434,11768,147601,,22881,3385,3015,417,574
Gyldenstolpia planaltensis,50,318,3,9,60,138,,30,,201,15,,,19,84,,7,0,0,,0
Gymnodactylus amarali,53703,190312,1232,26827,47479,121629,1411,22880,3,2003,1117,326,126,3981,46076,1046,6447,119,2,103,1522
Gymnodactylus guttulatus,12,78,1,3,95,11,,10,,9,4,139,,0,0,,0,,,,
Helicops boitata*,93,43,0,71,85,62,,2,,,0,,,10,,,0,,,,
Helicops gomesi*,31144,11756,9773,6948,5143,82118,36244,48020,,3725,435,286,72,4796,35427,,7185,2308,2791,263,1
Helicops phantasma*,8815,24062,266,14721,1060,11775,47,1582,,61,182,2,2,805,1207,981,673,,,,
Herpsilochmus longirostris,188236,385659,21525,56022,84577,401197,40641,107862,18,6252,3825,749,382,11806,166823,969,24264,3082,2792,483,1917
Heterodactylus lundii,3965,3407,2740,352,1517,13739,103,6455,,196,87,40,25,611,444,,215,117,10,1,
Holochilus sciureus,54160,222305,4724,14052,62459,104054,2441,29711,3,2014,1848,298,182,4956,65083,1046,6918,1403,219,151,1543
