,species,latitude,longitude
407,Allobates brunneus,-14.9489,-55.7478
408,Allobates brunneus,-14.9542,-55.7092
409,Allobates brunneus,-14.9564,-55.6947
410,Allobates brunneus,-14.9631,-55.6919
411,Allobates goianus,-14.1825,-47.5347
412,Allobates goianus,-13.7597,-48.3086
413,Allobates goianus,-14.3639,-48.5047
414,Allobates goianus,-16.6026,-48.547
415,Alopoglossus collii*,-11.8626,-60.9383
416,Alopoglossus collii*,-12.122,-60.2775
417,Alopoglossus collii*,-15.3173,-58.8619
418,Ameerega berohoka,-20.4511,-55.6211
419,Ameerega berohoka,-16.4447,-51.3936
420,Ameerega berohoka,-15.6915,-52.4134
421,Ameerega berohoka,-19.793,-54.9311
422,Ameerega berohoka,-17.0703,-54.9183
423,Ameerega berohoka,-17.5694,-52.5511
424,Ameerega berohoka,-14.5924,-52.409
425,Ameerega berohoka,-16.4269,-51.8222
426,Ameerega berohoka,-19.5754,-54.8935
427,Ameerega berohoka,-19.1002,-54.7858
428,Ameerega berohoka,-17.2442,-53.069
429,Ameerega braccata,-15.1355,-55.5182
430,Ameerega braccata,-15.4608,-55.7494
431,Ameerega braccata,-15.4879,-55.8196
432,Ameerega braccata,-15.4293,-55.835
433,Ameerega braccata,-15.3563,-55.8838
434,Ameerega braccata,-15.353,-55.8858
435,Ameerega braccata,-15.3333,-55.8833
436,Ameerega braccata,-15.4485,-55.9354
437,Ameerega braccata,-15.4,-55.83
438,Ameerega braccata,-15.4119,-55.8422
439,Ameerega braccata,-15.4119,-55.8311
440,Ameerega braccata,-15.4079,-55.8311
441,Ameerega flavopicta,-20.8636,-46.388
442,Ameerega flavopicta,-14.1825,-47.5347
443,Ameerega flavopicta,-14.1852,-47.7896
444,Ameerega flavopicta,-19.9022,-43.9597
445,Ameerega flavopicta,-15.7807,-47.7968
446,Ameerega flavopicta,-15.7797,-47.9297
447,Ameerega flavopicta,-17.7085,-48.6454
448,Ameerega flavopicta,-13.6346,-47.6957
449,Ameerega flavopicta,-19.4405,-43.7183
450,Ameerega flavopicta,-19.5136,-43.7447
451,Ameerega flavopicta,-17.6049,-45.9343
452,Ameerega flavopicta,-16.4812,-47.9918
453,Ameerega flavopicta,-13.9946,-49.3937
454,Ameerega flavopicta,-13.4983,-48.3484
455,Ameerega flavopicta,-14.4981,-48.4012
456,Ameerega flavopicta,-8.0618,-55.6116
457,Ameerega flavopicta,-17.1737,-46.8838
458,Ameerega flavopicta,-12.6953,-47.8117
459,Ameerega flavopicta,-12.5919,-47.8769
460,Ameerega flavopicta,-12.5719,-47.8769
461,Ameerega flavopicta,-6.0675,-49.9022
462,Ameerega flavopicta,-20.1389,-47.3086
463,Ameerega flavopicta,-15.8106,-49.0132
464,Ameerega flavopicta,-18.2379,-46.3375
465,Ameerega flavopicta,-20.1175,-47.3158
466,Ameerega flavopicta,-19.1888,-43.645
467,Ameerega flavopicta,-19.1691,-43.7141
468,Ameerega flavopicta,-13.1452,-50.2487
469,Ameerega flavopicta,-16.3754,-46.8194
470,Ameerega picta,-20.5529,-56.692
471,Ameerega picta,-20.789,-56.755
472,Ameerega picta,-20.6724,-56.7994
473,Ameerega picta,-20.7914,-56.7566
474,Ameerega picta,-21.39303,-56.27484
475,Ameerega picta,-21.0073,-56.4597
476,Ameerega picta,-20.9833,-56.5166
477,Ameerega picta,-21.1244,-56.7435
478,Ameerega picta,-19.2667,-57.6333
479,Ameerega picta,-18.97432,-57.77488
480,Ameerega picta,-18.96424,-57.79501
481,Ameiva jacuba,-18.2189,-52.7714
482,Ameiva jacuba,-18.3064,-52.8067
483,Ameiva jacuba,-18.2514,-52.885
484,Ameiva jacuba,-18.25,-52.8833
485,Ameiva jacuba,-16.1019,-52.9225
486,Ameiva jacuba,-18.2258,-52.8372
487,Ameiva jacuba,-18.245,-52.8825
488,Ameiva jacuba,-18.2903,-52.8897
489,Ameiva jacuba,-18.1917,-52.87
490,Ameiva parecis,-12.5353,-60.4267
491,Ameivula cipoensis*,-18.522,-43.9137
492,Ameivula cipoensis*,-19.3333,-43.5333
493,Ameivula cipoensis*,-19.29,-43.5486
494,Ameivula cipoensis*,-19.2926,-43.5904
495,Ameivula cipoensis*,-19.2836,-43.6596
496,Ameivula cipoensis*,-19.3492,-43.6188
497,Ameivula cipoensis*,-19.318,-43.5371
498,Ameivula cipoensis*,-19.2902,-43.5486
499,Ameivula cipoensis*,-19.3554,-43.6185
500,Ameivula cipoensis*,-19.3534,-43.6184
501,Ameivula cipoensis*,-19.3199,-43.5394
502,Ameivula jalapensis,-10.4167,-47.1
503,Ameivula jalapensis,-10.3,-46.95
504,Ameivula mumbuca,-11.6167,-46.8167
505,Ameivula mumbuca,-10.2628,-46.5655
506,Ameivula xacriaba*,-15.9175,-46.1064
507,Ameivula xacriaba*,-15.2,-45.8333
508,Ameivula xacriaba*,-14.0167,-44.77
509,Ameivula xacriaba*,-15.1547,-44.305
510,Ameivula xacriaba*,-12.28,-45.08
511,Ameivula xacriaba*,-15.372,-44.485
512,Ameivula xacriaba*,-15.203,-46.231
513,Amphisbaena absaberi,-16.1667,-57.2333
514,Amphisbaena acrobeles,-10.5946,-46.7707
515,Amphisbaena anaemariae,-16.1208,-48.4856
516,Amphisbaena anaemariae,-16.3051,-48.9724
517,Amphisbaena anaemariae,-15.7099,-48.0224
518,Amphisbaena anaemariae,-15.7667,-47.9167
519,Amphisbaena anaemariae,-19.035,-47.9169
520,Amphisbaena anaemariae,-16.5541,-48.0218
521,Amphisbaena anaemariae,-18.25,-52.8833
522,Amphisbaena anaemariae,-11.0333,-48.2167
523,Amphisbaena anaemariae,-22.0483,-52.7342
524,Amphisbaena bedai,-20.7677,-55.6076
525,Amphisbaena bedai,-20.4667,-55.7833
526,Amphisbaena bedai,-21.45,-56.1
527,Amphisbaena brevis,-14.9557,-55.8662
528,Amphisbaena carli,-14.7667,-45.9167
529,Amphisbaena carli,-14.0167,-45.9
530,Amphisbaena carli,-14.05,-45.7
531,Amphisbaena carli,-12.7989,-45.4834
532,Amphisbaena crisae,-10.6833,-50.6333
533,Amphisbaena crisae,-11.8333,-50.3333
534,Amphisbaena crisae,-18.25,-52.8833
535,Amphisbaena crisae,-12.9417,-51.8242
536,Amphisbaena cuiabana,-15.4667,-58.35
537,Amphisbaena cuiabana,-13.6667,-57.8833
538,Amphisbaena cuiabana,-15.45,-55.7333
539,Amphisbaena cuiabana,-15.5961,-56.0967
540,Amphisbaena filiformis*,-7.2458,-47.7675
541,Amphisbaena filiformis*,-6.5869,-47.4608
542,Amphisbaena kraoh,-10.7022,-46.4128
543,Amphisbaena kraoh,-10.1891,-48.1085
544,Amphisbaena kraoh,-8.9675,-48.1747
545,Amphisbaena kraoh,-10.5333,-46.4167
546,Amphisbaena leeseri,-20.4667,-55.7833
547,Amphisbaena leeseri,-22.1092,-56.5208
548,Amphisbaena leeseri,-19.0092,-57.6533
549,Amphisbaena leeseri,-19.2167,-57.55
550,Amphisbaena leeseri,-19,-57.65
551,Amphisbaena leeseri,-21.45,-56.1
552,Amphisbaena leeseri,-20.9828,-51.7892
553,Amphisbaena leeseri,-22.2833,-53.25
554,Amphisbaena leeseri,-22.241,-57.615
