species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Barycholos ternetzi,Amphibians,Craugastoridae,Barycholos,"Barycholos ternetzi (Miranda-Ribeiro, 1937)",Barycholos ternetzi,"(Miranda-Ribeiro, 1937)",Partial,polygon,1937,1900-1999,NA,NA,NA,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Boana botumirim,Amphibians,Hylidae,Boana,"Boana botumirim Caramaschi et al., 2009",Boana botumirim,"Caramaschi et al., 2009",Restricted,buffer,2009,2000-2021,-17.1167,-43.0333,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Boana buriti,Amphibians,Hylidae,Boana,"Boana buriti (Caramaschi & Cruz, 1999)",Boana buriti,"(Caramaschi & Cruz, 1999)",Restricted,polygon,1999,1900-1999,-16.0686,-46.6112,precise,n,Valdujo et al 2012; Azevedo et al 2016,EN
Boana caiapo,Amphibians,Hylidae,Boana,"Boana caiapo* Pinheiro et al., 2018",Boana caiapo*,"Pinheiro et al., 2018",Restricted,polygon,2018,2000-2021,-15.8942,-51.8231,precise,s,Pinheiro et al 2018,LC
Boana cipoensis,Amphibians,Hylidae,Boana,"Boana cipoensis (Lutz,1968)",Boana cipoensis,"(Lutz,1968)",Restricted,polygon,1968,1900-1999,-19.5,-43.7333,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Boana ericae,Amphibians,Hylidae,Boana,"Boana ericae (Caramaschi & Cruz, 2000)",Boana ericae,"(Caramaschi & Cruz, 2000)",Restricted,buffer,2000,2000-2021,-14.1333,-47.5333,precise,n,Valdujo et al 2012; Azevedo et al 2016,EN
Boana goiana,Amphibians,Hylidae,Boana,"Boana goiana (Lutz, 1968)",Boana goiana,"(Lutz, 1968)",Restricted,polygon,1968,1900-1999,-19.5,-43.7333,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Boana jaguariaivensis,Amphibians,Hylidae,Boana,"Boana jaguariaivensis Caramaschi et al., 2010",Boana jaguariaivensis,"Caramaschi et al., 2010",Restricted,buffer,2010,2000-2021,-24.1667,-49.6667,precise,n,Valdujo et al 2012; Azevedo et al 2016,VU
Boana lundii,Amphibians,Hylidae,Boana,"Boana lundii (Burmeister, 1856)",Boana lundii,"(Burmeister, 1856)",Partial,polygon,1856,1700-1899,NA,NA,NA,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Boana stenocephala,Amphibians,Hylidae,Boana,"Boana stenocephala (Caramaschi & Cruz, 1999)",Boana stenocephala,"(Caramaschi & Cruz, 1999)",Restricted,buffer,1999,1900-1999,-21.7833,-46.55,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Bokermannohyla alvarengai,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla alvarengai (Bokermann, 1956)",Bokermannohyla alvarengai,"(Bokermann, 1956)",Restricted,polygon,1956,1900-1999,NA,NA,NA,n,Valdujo et al 2012; Azevedo et al 2016,LC
Bokermannohyla ibitiguara,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla ibitiguara (Cardoso, 1983)",Bokermannohyla ibitiguara,"(Cardoso, 1983)",Restricted,polygon,1983,1900-1999,-20.6667,-46.2667,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Bokermannohyla izecksohni,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla izecksohni (Jim and Caramaschi, 1979)",Bokermannohyla izecksohni*,"(Jim and Caramaschi, 1979)",Restricted,buffer,1979,1900-1999,-22.86220891,-48.46785113,precise,s,Valdujo et al 2012,CR
Bokermannohyla nanuzae,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla nanuzae (Bokermann & Sazima, 1973)",Bokermannohyla nanuzae,"(Bokermann & Sazima, 1973)",Restricted,polygon,1973,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Bokermannohyla napolii,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla napolii Carvalho et al., 2012",Bokermannohyla napolii,"Carvalho et al., 2012",Restricted,buffer,2012,2000-2021,-19.2,-47.1333,precise,n,Azevedo et al 2016,EN
Bokermannohyla pseudopseudis,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla pseudopseudis (Miranda-Ribeiro, 1937)",Bokermannohyla pseudopseudis,"(Miranda-Ribeiro, 1937)",Partial,polygon,1937,1900-1999,-14.1825,-47.5347,associated,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Bokermannohyla ravida,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla ravida (Caramaschi et al., 2001)",Bokermannohyla ravida,"(Caramaschi et al., 2001)",Restricted,buffer,2001,2000-2021,-18.4167,-46.4167,precise,n,Valdujo et al 2012; Azevedo et al 2016,CR
Bokermannohyla sagarana,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla sagarana Leite et al., 2011",Bokermannohyla sagarana,"Leite et al., 2011",Restricted,polygon,2011,2000-2021,-17.6771,-44.339,precise,n,Valdujo et al 2012; Azevedo et al 2016,EN
Bokermannohyla sapiranga,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla sapiranga Brandão et al., 2012",Bokermannohyla sapiranga,"Brandão et al., 2012",Restricted,polygon,2012,2000-2021,-15.8732,-47.866,precise,n,Azevedo et al 2016,LC
Bokermannohyla saxicola,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla saxicola (Bokermann, 1964)",Bokermannohyla saxicola,"(Bokermann, 1964)",Restricted,polygon,1964,1900-1999,-19,-47.95,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Bokermannohyla sazimai,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla sazimai (Cardoso & Andrade, 1982)",Bokermannohyla sazimai,"(Cardoso & Andrade, 1982)",Restricted,polygon,1982,1900-1999,-20.1666,-46.8333,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Bothrops itapetiningae,Snakes,Viperidae,Bothrops,"Bothrops itapetiningae (Boulenger, 1907)",Bothrops itapetiningae,"(Boulenger, 1907)",Partial,polygon,1907,1900-1999,-23.5917,-48.0531,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,VU
Bothrops marmoratus,Snakes,Viperidae,Bothrops,"Bothrops marmoratus Silva & Rodrigues, 2008",Bothrops marmoratus,"Silva & Rodrigues, 2008",Partial,polygon,2008,2000-2021,-17.7167,-48.15,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Bothrops moojeni,Snakes,Viperidae,Bothrops,"Bothrops moojeni Hoge, 1966",Bothrops moojeni,"Hoge, 1966",Wide,polygon,1866,1700-1899,-15.8858,-47.9983,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
