binomial*,species,year,New,areaClass
Scinax haddadorum*,Scinax haddadorum,2016,s,polygon
Scinax maracaya,Scinax maracaya,1980,n,polygon
Julianus pinimus,Julianus pinimus,1973,n,buffer
Scinax rogerioi,Scinax rogerioi,2009,n,polygon
Scinax rossaferesae*,Scinax rossaferesae,2016,s,polygon
Scinax rupestris*,Scinax rupestris,2015,s,buffer
Scinax tigrinus,Scinax tigrinus,2010,n,polygon
Scytalopus novacapitalis,Scytalopus novacapitalis,1958,s,polygon
Siagonodon acutirostris,Siagonodon acutirostris,2011,n,buffer
Simophis rhinostoma,Simophis rhinostoma,1837,n,polygon
Sporophila nigrorufa,Sporophila nigrorufa,1837,s,polygon
Stenocercus albolineatus*,Stenocercus albolineatus,2015,s,polygon
Stenocercus canastra*,Stenocercus canastra,2019,s,buffer
Stenocercus quinarius,Stenocercus quinarius,2006,n,polygon
Stenocercus sinesaccus,Stenocercus sinesaccus,2005,n,polygon
Synallaxis simoni,Synallaxis simoni,1907,s,polygon
Syndactyla dimidiata,Syndactyla dimidiata,1859,s,polygon
Taoniscus nanus,Taoniscus nanus,1815,s,polygon
Thalpomys cerradensis,Thalpomys cerradensis,1990,s,polygon
Thalpomys lasiotis,Thalpomys lasiotis,1916,s,polygon
Thamnodynastes rutilus,Thamnodynastes rutilus,1942,n,polygon
Thoropa megatympanum,Thoropa megatympanum,1984,n,polygon
Thrichomys apereoides,Thrichomys apereoides,1839,s,polygon
Thrichomys pachyurus,Thrichomys pachyurus,1845,s,polygon
Thylamys velutinus,Thylamys velutinus,1842,s,polygon
Trachycephalus mambaiensis,Trachycephalus mambaiensis,2009,n,polygon
Trilepida brasiliensis,Trilepida brasiliensis,1949,n,polygon
Trilepida fuliginosa,Trilepida fuliginosa,2006,n,polygon
Trilepida jani,Trilepida jani,2012,n,polygon
Trilepida koppesi,Trilepida koppesi,1955,n,polygon
Trinomys moojeni,Trinomys moojeni,1992,s,polygon
Tropidophis preciosus,Tropidophis preciosus,2012,n,buffer
Tropidurus callathelys,Tropidurus callathelys,1998,n,OUT
Tropidurus chromatops,Tropidurus chromatops,1998,n,OUT
Tropidurus itambere,Tropidurus itambere,1987,n,polygon
Tropidurus montanus,Tropidurus montanus,1987,n,polygon
Tropidurus oreadicus,Tropidurus oreadicus,1987,n,polygon
Tupinambis matipu*,Tupinambis matipu,2018,s,polygon
Tupinambis quadrilineatus,Tupinambis quadrilineatus,1997,n,polygon
Uropelia campestris,Uropelia campestris,1825,s,polygon
Vanzosaura savanicola*,Vanzosaura savanicola,2014,s,polygon
Xenodon matogrossensis,Xenodon matogrossensis,1993,n,polygon
Xenodon nattereri,Xenodon nattereri,1867,n,polygon
