assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
131358580,22736463,Phaethornis aethopygus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Phaethornis,aethopygus,,,,"Zimmer, 1950",VU,A3ce+4ce,3.1,Decreasing,Global
131361562,22703531,Scytalopus novacapitalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,RHINOCRYPTIDAE,Scytalopus,novacapitalis,,,,"Sick, 1958",EN,B2ab(iii),3.1,Decreasing,Global
131386992,22723301,Microspingus cinereus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Microspingus,cinereus,,,,"(Bonaparte, 1851)",LC,,3.1,Stable,Global
131459482,22721737,Setophaga striata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARULIDAE,Setophaga,striata,,,,"(Forster, 1772)",NT,A2ac+3c+4ac,3.1,Decreasing,Global
131549743,22698953,Hemitriccus mirandae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TYRANNIDAE,Hemitriccus,mirandae,,,,"(Snethlage, 1925)",VU,"B2ab(i,ii,iii,v)",3.1,Decreasing,Global
131575575,22688090,Augastes scutatus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Augastes,scutatus,,,,"(Temminck, 1822)",LC,,3.1,Decreasing,Global
131792415,22686709,Chaetura pelagica,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,APODIDAE,Chaetura,pelagica,,,,"(Linnaeus, 1758)",VU,A2acd+3cd+4acd,3.1,Decreasing,Global
131888081,22721578,Gubernatrix cristata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Gubernatrix,cristata,,,,"Vieillot, 1817",EN,A2cd+3cd+4cd,3.1,Decreasing,Global
131888860,22722123,Schistochlamys melanopis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Schistochlamys,melanopis,,,,"(Latham, 1790)",LC,,3.1,Stable,Global
131890003,22724345,Molothrus bonariensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ICTERIDAE,Molothrus,bonariensis,,,,"(Gmelin, 1789)",LC,,3.1,Increasing,Global
131911211,22680061,Cairina moschata,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cairina,moschata,,,,"(Linnaeus, 1758)",LC,,3.1,Decreasing,Global
131917270,22685539,Ara ararauna,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Ara,ararauna,,,,"(Linnaeus, 1758)",LC,,3.1,Decreasing,Global
131917909,22685752,Aratinga nenday,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Aratinga,nenday,,,,"(Vieillot, 1823)",LC,,3.1,Increasing,Global
131918149,22685926,Forpus passerinus,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Forpus,passerinus,,,,"(Linnaeus, 1758)",LC,,3.1,Decreasing,Global
131918421,22685959,Brotogeris versicolurus,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Brotogeris,versicolurus,,,,"(Müller, 1776)",LC,,3.1,Stable,Global
131919991,22686346,Amazona ochrocephala,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Amazona,ochrocephala,,,,"(Gmelin, 1788)",LC,,3.1,Decreasing,Global
